"id","ts","light","temperature","soil_moisture","humidity","api_temp","precipitation","cloud_cover"
"1","2025-04-01 21:15:00","34.3262","33.3125","3262","84","27.9","0.1","100"
"2","2025-04-01 21:30:00","33.9057","33.4688","3232.5","84","27.8","0.1","100"
"3","2025-04-01 21:45:00","33.2979","33.5938","3218","85","27.8","0.1","100"
"4","2025-04-01 22:00:00","33.6201","33.3281","3211","85","27.6","0","100"
"5","2025-04-01 22:15:00","33.2979","33.3438","3203","85","27.6","0","100"
"6","2025-04-01 22:30:00","33.4355","33.4844","3204","86","27.5","0","100"
"7","2025-04-01 22:45:00","33.2979","33.625","3199","81","29.1","0","100"
"8","2025-04-01 23:00:00","33.0254","33.6875","3200.5","82","29","0","90"
"9","2025-04-01 23:15:00","22.3164","33.5625","3198","83","28.8","0","90"
"10","2025-04-01 23:30:00","22.3934","33.5312","3196.5","84","28.6","0","90"
"11","2025-04-01 23:45:00","22.4192","33.4062","3197","84","28.5","0","90"
"12","2025-04-02 00:00:00","22.523","33.4844","3187","85","28.4","0","72"
"13","2025-04-02 00:15:00","22.4708","33.4688","3195","86","28.3","0","72"
"14","2025-04-02 00:30:00","22.3677","33.25","3194","87","28.2","0","72"
"15","2025-04-02 07:30:00","24.6837","34.1875","3229","89","27.7","0","100"
"16","2025-04-02 07:45:00","25.5649","33.9219","3246.5","87","28.2","0","100"
"17","2025-04-02 08:00:00","24.2171","33.5","3248","85","28.5","0","6"
"18","2025-04-02 08:15:00","24.3036","33.7344","3250.5","82","29.1","0","6"
"19","2025-04-02 08:30:00","24.3325","33.875","3248","78","29.9","0","6"
"20","2025-04-02 08:45:00","25.4106","33.5781","3239.5","74","30.5","0","6"
"21","2025-04-02 09:00:00","24.8023","33.375","3223","71","30.9","0","39"
"22","2025-04-02 09:15:00","26.6865","33.3594","3211","68","31.4","0","39"
"23","2025-04-02 09:30:00","26.422","33.3438","3198","64","31.8","0","39"
"24","2025-04-02 09:45:00","27.1202","33.4062","3175","61","32.2","0","39"
"25","2025-04-02 10:00:00","27.9142","33.5","3178","59","32.5","0","56"
"26","2025-04-02 10:15:00","27.2925","33.4375","3168","56","33","0","56"
"27","2025-04-02 10:30:00","27.9142","33.25","3173","54","33.5","0","56"
"28","2025-04-02 10:45:00","27.537","33.3281","3172.5","52","34","0","56"
"29","2025-04-02 11:00:00","28.0559","33.4375","3177","54","33.3","0","100"
"30","2025-04-02 11:15:00","29.1177","33.4844","3168","52","33.8","0","100"
"31","2025-04-02 11:30:00","26.2921","33.25","3163","50","34.2","0","100"
"32","2025-04-02 11:45:00","28.1987","33.3281","3148.5","47","34.5","0","100"
"33","2025-04-02 12:00:00","25.9079","33.4375","3155","46","34.8","0","100"
"34","2025-04-02 12:15:00","26.0717","33.4688","3151.5","45","35","0","100"
"35","2025-04-02 12:30:00","26.2921","33.2188","3147","44","35.1","0","100"
"36","2025-04-02 12:45:00","25.5007","33.2969","3136","43","35.2","0","100"
"37","2025-04-02 13:00:00","25.0421","33.4375","3152","42","35.2","0","100"
"38","2025-04-02 13:15:00","25.1331","33.5","3151","42","35.3","0","100"
"39","2025-04-02 13:30:00","25.4697","33.375","3127","41","35.3","0","100"
"40","2025-04-02 13:45:00","25.6875","33.3438","3148.5","41","35.3","0","100"
"41","2025-04-02 14:00:00","25.6562","33.4688","3173","41","35.2","0","100"
"42","2025-04-02 14:15:00","26.358","33.5312","3157","41","35.2","0","100"
"43","2025-04-02 14:30:00","26.951","33.4688","3187","41","35.2","0","100"
"44","2025-04-02 14:45:00","25.5965","33.4062","3171","41","35.1","0","100"
"45","2025-04-02 15:00:00","25.5316","33.5312","3153","41","35","0","100"
"46","2025-04-02 15:15:00","25.6875","33.6562","3144","41","35.1","0","100"
"47","2025-04-02 15:30:00","25.7188","33.6562","3141","41","35.1","0","100"
"48","2025-04-02 15:45:00","25.2605","33.5","3171","40","35.2","0","100"
"49","2025-04-02 16:00:00","24.0453","33.625","3142","40","35.2","0","100"
"50","2025-04-02 16:15:00","24.075","33.75","3159.5","40","35.1","0","100"
"51","2025-04-02 16:30:00","24.3325","33.7812","3153","49","33","0","100"
"52","2025-04-02 16:45:00","23.7653","33.5625","3151","50","32.8","0","100"
"53","2025-04-02 17:00:00","23.1041","33.6875","3147","50","32.7","0","100"
"54","2025-04-02 17:15:00","22.8904","33.8125","3141","51","32.5","0","100"
"55","2025-04-02 17:30:00","22.7317","33.8438","3139","52","32.3","0","100"
"56","2025-04-02 17:45:00","22.7056","33.625","3131","53","32.2","0","100"
"57","2025-04-02 18:00:00","22.5227","33.7188","3135","54","32","0","100"
"58","2025-04-02 18:15:00","22.3936","33.8125","3126.5","57","31.6","0","100"
"59","2025-04-02 18:30:00","33.9469","33.8438","3120","61","31","0","100"
"60","2025-04-02 18:45:00","33.9471","33.7812","3116.5","65","30.5","0","100"
"61","2025-04-02 19:00:00","33.853","34.7188","3114","68","30.1","0","100"
"62","2025-04-02 19:15:00","33.4377","34.9844","3122.5","70","29.9","0","100"
"63","2025-04-02 19:30:00","34.1357","35.25","3134","72","29.6","0","100"
"64","2025-04-02 19:45:00","33.4359","35.1562","3157","74","29.4","0","100"
"65","2025-04-02 20:00:00","33.853","35","3138","75","29.2","0","100"
"66","2025-04-02 20:15:00","33.7596","34.5938","3145.5","76","29","0","100"
"67","2025-04-02 20:30:00","33.7596","34.5","3153","77","28.9","0","100"
"68","2025-04-02 20:45:00","33.9","34.3438","3149","78","28.7","0","100"
"69","2025-04-02 21:00:00","33.3895","34.2188","3150","79","28.6","0","100"
"70","2025-04-02 21:15:00","33.165","33.9531","3139.5","80","28.5","0","100"
"71","2025-04-02 21:30:00","32.8456","34.5312","3138","81","28.4","0","100"
"72","2025-04-02 21:45:00","32.7117","34.4688","3138.5","82","28.2","0","100"
"73","2025-04-02 22:00:00","32.7562","34.3125","3138","83","28.1","0","100"
"74","2025-04-02 22:15:00","32.9353","34.0469","3136.5","84","28.1","0","100"
"75","2025-04-02 22:30:00","32.7562","34","3130","84","28","0","100"
"76","2025-04-02 22:45:00","27.5554","34.0156","3112","84","28.6","0","100"
"77","2025-04-02 23:00:00","22.2652","33.6875","3120","84","28.5","0","100"
"78","2025-04-02 23:15:00","22.2908","33.2969","3112.5","85","28.5","0","100"
"79","2025-04-02 23:30:00","22.3164","33.0938","3105","85","28.4","0","100"
"80","2025-04-02 23:45:00","22.3164","33.1875","3099","86","28.2","0","100"
"81","2025-04-03 00:00:00","22.3164","33.9375","3089","86","28.1","0","100"
"82","2025-04-03 00:15:00","22.2908","34.4219","3086.5","87","28.1","0","100"
"83","2025-04-03 00:30:00","22.3164","34.625","3088","87","28","0","100"
"84","2025-04-03 00:45:00","22.3164","34.6094","3069.5","88","28","0","100"
"85","2025-04-03 01:00:00","22.3164","34.5938","3088","88","27.9","0","100"
"86","2025-04-03 01:15:00","22.3936","34.3281","3073.5","89","27.8","0","100"
"87","2025-04-03 01:30:00","22.3164","33.9688","3083","90","27.7","0","100"
"88","2025-04-03 01:45:00","22.3164","33.9375","3071","90","27.6","0","100"
"89","2025-04-03 02:00:00","22.2652","33.875","3063","91","27.5","0","100"
"90","2025-04-03 02:15:00","22.3164","33.7969","3061.5","91","27.5","0","100"
"91","2025-04-03 02:30:00","22.3164","33.5312","3066","92","27.4","0","100"
"92","2025-04-03 02:45:00","22.3164","33.5625","3059","92","27.3","0","100"
"93","2025-04-03 03:00:00","22.3164","33.625","3057","92","27.2","0","100"
"94","2025-04-03 03:15:00","22.3936","33.6406","3052","92","27.2","0","100"
"95","2025-04-03 03:30:00","22.3164","33.4062","3057","93","27.1","0","100"
"96","2025-04-03 03:45:00","22.3164","33.2812","3059","94","27.1","0","100"
"97","2025-04-03 04:00:00","22.3164","33.375","3058","94","27","0","100"
"98","2025-04-03 04:15:00","22.3164","33.3906","3062.5","94","27","0","100"
"99","2025-04-03 04:30:00","22.3164","33.1875","3059","93","27.1","0","100"
"100","2025-04-03 04:45:00","22.3164","33.1094","3066","93","27.1","0","100"
"101","2025-04-03 05:00:00","22.5227","33.1562","3047","93","27.1","0","100"
"102","2025-04-03 05:15:00","22.3164","33.2031","3070.5","93","27.1","0","100"
"103","2025-04-03 05:30:00","22.3164","33","3071","93","27","0","100"
"104","2025-04-03 05:45:00","22.3164","32.8906","3077","93","27","0","100"
"105","2025-04-03 06:00:00","22.3164","33.0312","3088","93","27","0","100"
"106","2025-04-03 06:15:00","22.3677","33.0469","3088","93","27","0","100"
"107","2025-04-03 06:30:00","22.4708","32.6875","3091","93","27","0","100"
"108","2025-04-03 06:45:00","22.5487","32.8438","3092","93","27","0","100"
"109","2025-04-03 07:00:00","22.5227","32.8438","3090","93","27","0","100"
"110","2025-04-03 07:15:00","23.2963","32.5781","3089.5","92","27.1","0","100"
"111","2025-04-03 07:30:00","24.3906","33.2188","3071","91","27.3","0","100"
"112","2025-04-03 07:45:00","25.5965","33.5938","3097.5","90","27.5","0","100"
"113","2025-04-03 08:00:00","27.0856","33.5938","3105","89","27.6","0","100"
"114","2025-04-03 08:15:00","26.4447","33.125","3103.5","88","27.9","0","100"
"115","2025-04-03 08:30:00","25.8446","33.1875","3110","86","28.1","0","100"
"116","2025-04-03 08:45:00","24.6838","33.3281","3106","85","28.4","0","100"
"117","2025-04-03 09:00:00","25.9713","33.375","3103","84","28.5","0.3","100"
"118","2025-04-03 09:15:00","26.951","33.4844","3095","83","28.8","0.3","100"
"119","2025-04-03 09:30:00","27.2894","33.2812","3105","82","29","0.3","100"
"120","2025-04-03 09:45:00","27.5646","33.2031","3104.5","81","29.2","0.3","100"
"121","2025-04-03 10:00:00","27.4954","33.2812","3105","81","29.4","0.3","100"
"122","2025-04-03 10:15:00","26.2192","33.2344","3101.5","79","29.8","0.3","100"
"123","2025-04-03 10:30:00","25.1025","32.9688","3121","76","30.2","0.3","100"
"124","2025-04-03 10:45:00","24.4551","33.1094","3118.5","67","31.2","0.1","100"
"125","2025-04-03 11:00:00","24.5658","33.2188","3117","66","31.5","0","94"
"126","2025-04-03 11:15:00","24.1913","33.2031","3120","65","31.8","0","94"
"127","2025-04-03 11:30:00","24.9818","32.9688","3117","64","32","0","94"
"128","2025-04-03 11:45:00","24.8921","33.125","3121.5","63","32.3","0","94"
"129","2025-04-03 12:00:00","24.9818","33.2188","3121","62","32.4","0","79"
"130","2025-04-03 12:15:00","24.0549","33.1875","3120","61","32.7","0","79"
"131","2025-04-03 12:30:00","24.1024","33","3098","60","32.9","0","79"
"132","2025-04-03 12:45:00","24.2459","33.1875","3120","59","33.1","0","79"
"133","2025-04-03 13:00:00","24.2171","33.2812","3118","58","33.2","0","81"
"134","2025-04-03 13:15:00","24.8027","33.1562","3120.5","57","33.3","0","81"
"135","2025-04-03 13:30:00","25.2241","33.0625","3120","56","33.5","0","81"
"136","2025-04-03 13:45:00","25.2856","33.25","3109.5","56","33.5","0","81"
"137","2025-04-03 14:00:00","25.408","33.3438","3115","55","33.5","0","76"
"138","2025-04-03 14:15:00","25.8776","33.1875","3099","54","33.7","0","76"
"139","2025-04-03 14:30:00","25.7188","33.125","3111","53","33.8","0","76"
"140","2025-04-03 14:45:00","25.6563","33.3281","3105","53","34","0","76"
"141","2025-04-03 15:00:00","25.5938","33.4062","3104","52","34","0","78"
"142","2025-04-03 15:15:00","25.408","33.2656","3098","53","33.8","0","78"
"143","2025-04-03 15:30:00","25.2241","33.2812","3095","56","33.3","0","78"
"144","2025-04-03 15:45:00","24.6544","33.4375","3090","58","32.8","0","78"
"145","2025-04-03 16:00:00","24.6246","33.5","3088","60","32.5","0.1","100"
"146","2025-04-03 16:15:00","24.3921","33.3438","3086","62","32.2","0.1","100"
"147","2025-04-03 16:30:00","23.8753","33.3125","3082","49","34.2","0","73"
"148","2025-04-03 16:45:00","23.4853","33.4844","3069.5","52","33.6","0","73"
"149","2025-04-03 17:00:00","23.0504","33.25","3071","53","33.2","0","84"
"150","2025-04-03 17:15:00","23.2696","33","3071","56","32.8","0","84"
"151","2025-04-03 17:30:00","23.3208","32.9688","3071","58","32.4","0","84"
"152","2025-04-03 17:45:00","22.9707","33.1875","3079","61","32","0","84"
"153","2025-04-03 18:00:00","22.5747","33.9375","3089","63","31.7","0","96"
"154","2025-04-03 18:15:00","28.885","34.2656","3143.5","65","31.4","0","96"
"155","2025-04-03 18:30:00","34.0411","34.375","3232","67","31.1","0","96"
"156","2025-04-03 18:45:00","34.4701","34.2812","3232.5","69","30.9","0","96"
"157","2025-04-03 19:00:00","34.422","34.1875","3229","70","30.7","0","38"
"158","2025-04-03 19:15:00","34.5677","33.9531","3220.5","71","30.5","0","38"
"159","2025-04-03 19:30:00","34.3262","33.7188","3225","71","30.4","0","38"
"160","2025-04-03 19:45:00","34.422","33.9062","3224.5","72","30.2","0","38"
"161","2025-04-03 20:00:00","33.9469","34.5312","3229","72","30.1","0","35"
"162","2025-04-03 20:15:00","34.3741","34.2656","3228","73","29.9","0","35"
"163","2025-04-03 20:30:00","34.1357","33.875","3229","75","29.6","0","35"
"164","2025-04-03 20:45:00","34.0429","33.8438","3230.5","76","29.5","0","35"
"165","2025-04-03 21:00:00","33.5738","33.9062","3213","77","29.2","0","74"
"166","2025-04-03 21:15:00","33.994","33.8438","3228","78","29","0","74"
"167","2025-04-03 21:30:00","34.1357","33.6562","3229","79","28.9","0","74"
"168","2025-04-03 21:45:00","34.1844","33.5","3233","80","28.7","0","74"
"169","2025-04-03 22:00:00","33.6665","33.9688","3235","80","28.5","0","35"
"170","2025-04-03 22:15:00","33.4392","33.8594","3229.5","81","28.5","0","35"
"171","2025-04-03 22:30:00","32.7562","33.7188","3233","81","28.3","0","35"
"172","2025-04-03 22:45:00","33.0707","33.4375","3221","80","28.5","0","31"
"173","2025-04-03 23:00:00","32.7562","33.5312","3226","81","28.4","0","9"
"174","2025-04-03 23:15:00","22.2143","33.4688","3218.5","82","28.2","0","9"
"175","2025-04-03 23:30:00","22.2652","33.5","3217","82","28.1","0","9"
"176","2025-04-03 23:45:00","22.368","33.3125","3210","83","28.1","0","9"
"177","2025-04-04 00:00:00","22.2652","33.3438","3216","83","28","0","14"
"178","2025-04-04 00:15:00","22.2397","33.3906","3218.5","84","28","0","14"
"179","2025-04-04 00:30:00","22.2652","33.3438","3218","84","27.9","0","14"
"180","2025-04-04 00:45:00","22.2908","33.1406","3221.5","85","27.8","0","14"
"181","2025-04-04 01:00:00","22.2652","33.1875","3219","85","27.6","0","28"
"182","2025-04-04 01:15:00","22.2908","33.25","3220.5","86","27.6","0","28"
"183","2025-04-04 01:30:00","22.2652","33.2188","3219","86","27.5","0","28"
"184","2025-04-04 01:45:00","22.2908","33.0156","3223","87","27.5","0","28"
"185","2025-04-04 02:00:00","22.3164","33.125","3221","87","27.4","0","32"
"186","2025-04-04 02:15:00","22.2653","33.1562","3209.5","87","27.3","0","32"
"187","2025-04-04 02:30:00","22.2652","33.0938","3221","88","27.2","0","32"
"188","2025-04-04 02:45:00","22.2908","32.9531","3222.5","88","27.2","0","32"
"189","2025-04-04 03:00:00","22.3164","33.0312","3218","88","27.1","0","10"
"190","2025-04-04 03:15:00","22.2908","33.0469","3222","88","27.1","0","10"
"191","2025-04-04 03:30:00","22.2652","32.9062","3223","88","27.1","0","10"
"192","2025-04-04 03:45:00","22.2908","32.8281","3221.5","88","27","0","10"
"193","2025-04-04 04:00:00","22.3164","32.9062","3222","88","27","0","8"
"194","2025-04-04 04:15:00","22.3164","32.9219","3220.5","88","27","0","8"
"195","2025-04-04 04:30:00","22.3164","32.6875","3222","87","26.9","0","37"
"196","2025-04-04 04:45:00","22.4195","32.7812","3213.5","87","26.9","0","37"
"197","2025-04-04 05:00:00","22.2652","32.9375","3222","87","26.8","0","34"
"198","2025-04-04 05:15:00","22.2908","32.8594","3225.5","87","26.8","0","34"
"199","2025-04-04 05:30:00","22.2652","32.625","3226","88","26.8","0","34"
"200","2025-04-04 05:45:00","22.3164","32.7188","3225.5","88","26.7","0","34"
"201","2025-04-04 06:00:00","22.2652","32.75","3227","88","26.6","0","42"
"202","2025-04-04 06:15:00","22.3936","32.6875","3226","88","26.6","0","42"
"203","2025-04-04 06:30:00","22.7317","32.8125","3228","89","26.6","0","42"
"204","2025-04-04 06:45:00","23.2667","32.8438","3225","90","26.6","0","42"
"205","2025-04-04 07:00:00","23.3208","32.6875","3227","90","26.6","0","52"
"206","2025-04-04 07:15:00","24.131","32.4375","3214","88","27","0","52"
"207","2025-04-04 07:30:00","24.8023","32.375","3223","85","27.6","0","52"
"208","2025-04-04 07:45:00","25.8177","32.6094","3210","82","28.2","0","52"
"209","2025-04-04 08:00:00","24.3906","32.7188","3217","80","28.6","0","39"
"210","2025-04-04 08:15:00","24.5407","32.9531","3216.5","77","29.2","0","39"
"211","2025-04-04 08:30:00","25.1632","32.9062","3214","74","29.9","0","39"
"212","2025-04-04 08:45:00","25.2242","32.9844","3214.5","71","30.5","0","39"
"213","2025-04-04 09:00:00","25.5316","33.0625","3216","69","30.8","0","19"
"214","2025-04-04 09:15:00","25.7197","33.1094","3222","66","31.4","0","19"
"215","2025-04-04 09:30:00","24.8023","33.2188","3221","63","32","0","19"
"216","2025-04-04 09:45:00","25.7584","33.0469","3217","60","32.5","0","19"
"217","2025-04-04 10:00:00","25.1025","33.0625","3219","58","32.8","0","55"
"218","2025-04-04 10:15:00","25.0119","33.125","3208.5","56","33.2","0","55"
"219","2025-04-04 10:30:00","24.3325","33.1562","3217","54","33.7","0","55"
"220","2025-04-04 10:45:00","26.865","33.0156","3219.5","60","32.7","0","81"
"221","2025-04-04 11:00:00","30.3126","33","3221","59","32.9","0","66"
"222","2025-04-04 11:15:00","26.8432","32.7656","3228","58","33.2","0","66"
"223","2025-04-04 11:30:00","27.634","32.5625","3231","56","33.5","0","66"
"224","2025-04-04 11:45:00","27.2553","32.5312","3271","55","33.8","0","66"
"225","2025-04-04 12:00:00","24.3325","33.0625","3312","54","34","0","55"
"226","2025-04-04 12:15:00","24.3373","33.7656","3316","53","34.3","0","55"
"227","2025-04-04 12:30:00","24.6837","34.0625","3317","52","34.5","0","55"
"228","2025-04-04 12:45:00","25.9065","34.2656","3319","51","34.6","0","55"
"229","2025-04-04 13:00:00","24.2171","34.3125","3331","51","34.7","0","56"
"230","2025-04-04 13:15:00","23.4852","34.3438","3328","51","34.8","0","56"
"231","2025-04-04 13:30:00","25.6562","34.25","3342","50","35","0","56"
"232","2025-04-04 13:45:00","25.2853","33.9844","3350","50","35","0","56"
"233","2025-04-04 14:00:00","25.408","33.9375","3355","50","35.1","0","64"
"234","2025-04-04 14:15:00","25.2937","33.9688","3359.5","50","35.1","0","64"
"235","2025-04-04 14:30:00","25.5938","33.9688","3349","51","35","0","64"
"236","2025-04-04 14:45:00","24.6649","33.9062","3354","52","35","0","64"
"237","2025-04-04 15:00:00","23.4852","33.8438","3343","52","35","0","75"
"238","2025-04-04 15:15:00","23.5699","33.8594","3353.5","52","34.8","0","75"
"239","2025-04-04 15:30:00","23.2121","33.9375","3359","53","34.5","0","75"
"240","2025-04-04 15:45:00","22.8903","33.8281","3354","53","34.3","0","75"
"241","2025-04-04 16:00:00","23.1041","33.7188","3354","53","34.1","0","59"
"242","2025-04-04 16:15:00","23.1045","33.7969","3351.5","53","34","0","59"
"243","2025-04-04 16:30:00","23.158","33.875","3381","54","33.5","0","72"
"244","2025-04-04 16:45:00","44.2343","33.1719","3387","55","33.4","0","72"
"245","2025-04-04 17:00:00","38.0436","32.4688","3379","55","33.2","0","46"
"246","2025-04-04 17:15:00","37.0635","32.375","3363.5","56","33","0","46"
"247","2025-04-04 17:30:00","34.2308","32.375","3371","58","32.5","0","46"
"248","2025-04-04 17:45:00","33.4381","32.4375","3362.5","60","32.1","0","46"
"249","2025-04-04 18:00:00","32.0539","32.375","3347","61","31.8","0","27"
"250","2025-04-04 18:15:00","29.6157","32.2969","3332.5","63","31.4","0","27"
"251","2025-04-04 18:30:00","28.854","32.2188","3312","66","30.8","0","27"
"252","2025-04-04 18:45:00","40.9927","32.1562","3314.5","68","30.3","0","27"
"253","2025-04-04 19:00:00","30.4724","32.75","3179","70","29.9","0","0"
"254","2025-04-04 19:15:00","30.6742","32.7188","3129.5","72","29.5","0","0"
"255","2025-04-04 19:30:00","30.5527","32.7188","3106","74","29.2","0","0"
"256","2025-04-04 19:45:00","30.5934","33.9375","3089.5","76","29","0","0"
"257","2025-04-04 20:00:00","30.4724","34.25","3095","77","28.8","0","0"
"258","2025-04-04 20:15:00","30.6739","34.2031","3077","79","28.6","0","0"
"259","2025-04-04 20:30:00","30.4724","33.75","3056","80","28.5","0","0"
"260","2025-04-04 20:45:00","30.755","33.4531","3051","81","28.4","0","0"
"261","2025-04-04 21:00:00","30.4724","33.2812","3053","82","28.2","0","12"
"262","2025-04-04 21:15:00","30.715","33.0938","3047","83","28.1","0","12"
"263","2025-04-04 21:30:00","30.7957","33.0312","3038","83","28.1","0","12"
"264","2025-04-04 21:45:00","30.0405","32.9062","3031","84","28","0","12"
"265","2025-04-04 22:00:00","29.7629","33.2188","3031","84","28","0","23"
"266","2025-04-04 22:15:00","29.9969","33.1094","3015","84","27.9","0","23"
"267","2025-04-04 22:30:00","29.7629","33.0625","3036","85","27.8","0","23"
"268","2025-04-04 22:45:00","25.9114","32.6875","3030.5","85","28.2","0","21"
"269","2025-04-04 23:00:00","22.2652","32.4688","3017","85","28.1","0","31"
"270","2025-04-04 23:15:00","22.3164","32.5312","3018.5","85","28","0","31"
"271","2025-04-04 23:30:00","22.3164","32.5625","3023","86","28","0","31"
"272","2025-04-04 23:45:00","22.2908","32.5625","3009","86","27.9","0","31"
"273","2025-04-05 00:00:00","22.2652","32.4688","3013","86","27.8","0","35"
"274","2025-04-05 00:15:00","22.3164","32.3906","3008","86","27.8","0","35"
"275","2025-04-05 00:30:00","22.3164","32.4375","3009","87","27.6","0","35"
"276","2025-04-05 00:45:00","22.3164","32.3594","3005.5","87","27.6","0","35"
"277","2025-04-05 01:00:00","22.3164","32.25","3010","87","27.5","0","41"
"278","2025-04-05 01:15:00","22.3164","32.2344","3002.5","87","27.5","0","41"
"279","2025-04-05 01:30:00","22.4708","32.25","2990","88","27.4","0","41"
"280","2025-04-05 01:45:00","22.3936","32.2344","2987","89","27.3","0","41"
"281","2025-04-05 02:00:00","22.3164","32.0938","2990","89","27.2","0","55"
"282","2025-04-05 02:15:00","22.3164","32.0938","2986.5","89","27.2","0","55"
"283","2025-04-05 02:30:00","22.3164","32.125","2992","89","27.2","0","55"
